_id_,timeTaken,nps,County,State,Full Part Time,Gender,Ethnic Group Description,Date of Birth,age,age_group,Payment Frequency,Contract Type,concat,Prediction,recommendation
58e7df1bd7aff30100ae18ba,98515108,1,Little River,AR,Part Time,Female,American Ethnicities,2/03/1988,30,1,2-Weekly,Permanent,Little River_AR,10,0
58e79957d7aff30100ae18ab,1344062,1,Navajo,AZ,Full Time,Male,White,5/11/1992,26,1,Monthly,Permanent,Navajo_AZ,43,0
58e2df98d7aff30100ae1812,2269255,1,,DE,Full Time,Female,White,15/08/1990,28,1,Monthly,Contractor,_DE,99,1
58e2b035d7aff30100ae17fd,851441,1,Terrell,GA,Full Time,Female,Black or Black British,15/07/1988,30,1,Monthly,Permanent,Terrell_GA,57,1
58e768e4a4f5930100cea7f9,1947024,1,Murray,GA,Full Time,Male,Mixed,5/04/1982,36,2,Monthly,Contractor,Murray_GA,96,1
58e40972a4f5930100cea7b5,1475194,1,Ringgold,IA,Full Time,Male,Mixed,30/09/1988,30,1,Monthly,Contractor,Ringgold_IA,60,1
58e40ed1d7aff30100ae185f,1076559,1,Montgomery,IL,Full Time,Female,White,27/05/1992,26,1,Monthly,Permanent,Montgomery_IL,42,0
58e28feea4f5930100cea747,749686,1,Christian,KY,Part Time,Female,Not Divulged,17/08/1998,20,1,Monthly,Permanent,Christian_KY,37,0
58e2ac28a4f5930100cea75c,1490276,1,Edmonson,KY,Part Time,Male,Not Divulged,3/11/1994,24,1,Monthly,Temporary,Edmonson_KY,41,0
58e2a6a0a4f5930100cea758,881744,1,York,ME,Part Time,Female,Not Divulged,17/12/1987,31,2,Monthly,Permanent,York_ME,11,0
58e2b308a4f5930100cea760,2327482,1,Franklin,MO,Part Time,Female,Not Divulged,2/08/1998,20,1,Monthly,Temporary,Franklin_MO,26,0
58e2b019d7aff30100ae17fc,2099483,1,Guilford,NC,Full Time,Female,Not Divulged,8/05/1991,27,1,Monthly,Permanent,Guilford_NC,86,1
58e4d9b7a4f5930100cea7c1,1319274,1,York,NE,Part Time,Female,Not Divulged,15/05/1996,22,1,Monthly,Permanent,York_NE,75,1
58e79f60d7aff30100ae18ad,1459212,1,Butler,NE,Full Time,Male,Not Divulged,4/06/1988,30,1,Monthly,Temporary,Butler_NE,78,1
58e3d1eed7aff30100ae1854,875010,1,Jefferson,NY,Part Time,Female,White,13/07/1983,35,2,Monthly,Permanent,Jefferson_NY,88,1
58e33d35d7aff30100ae1814,849809,1,Comanche,OK,Part Time,Male,Not Divulged,7/12/1990,28,1,Monthly,Contractor,Comanche_OK,10,0
58e3fdc7d7aff30100ae185a,2332144,1,Texas,OK,Full Time,Male,White,22/12/1991,27,1,Monthly,Contractor,Texas_OK,62,1
58e557fcd7aff30100ae187c,3527643,1,Garfield,OK,Part Time,Female,Not Divulged,11/02/1993,25,1,Monthly,Permanent,Garfield_OK,10,0
58e4bb8aa4f5930100cea7b9,2231218,1,Jefferson,PA,Part Time,Female,Not Divulged,23/12/1987,31,2,Monthly,Permanent,Jefferson_PA,55,1
58e633f2a4f5930100cea7e0,8870631,1,Wise,TX,Part Time,Female,Not Divulged,18/08/1973,45,2,Monthly,Fixed Term,Wise_TX,2,0
58e6856aa4f5930100cea7f1,18884036,1,Iowa,WI,Part Time,Female,Not Divulged,10/08/1987,31,2,Monthly,Permanent,Iowa_WI,36,0
58e2b94bd7aff30100ae1806,3342380,2,Kenai Peninsula,AK,Full Time,Female,Not Divulged,8/04/1997,21,1,Monthly,Fixed Term,Kenai Peninsula_AK,8,0
58e33c43a4f5930100cea76e,1379841,2,Pike,AR,Full Time,Female,Not Divulged,11/01/1989,29,1,Monthly,Permanent,Pike_AR,60,1
58e63cc6d7aff30100ae188c,987620,2,Izard,AR,Full Time,Male,Not Divulged,27/02/1994,24,1,Monthly,Permanent,Izard_AR,53,1
58e4e1ffa4f5930100cea7c4,2153619,2,Middlesex,CT,Part Time,Male,Not Divulged,19/08/1994,24,1,Monthly,Fixed Term,Middlesex_CT,43,0
58e3d933a4f5930100cea7ac,1292993,2,Rock Island,IL,Full Time,Female,Not Divulged,21/12/1993,25,1,Monthly,Permanent,Rock Island_IL,54,1
58e3b097d7aff30100ae1848,1247354,2,Washington,ME,Part Time,Female,Not Divulged,25/01/1992,26,1,Monthly,Permanent,Washington_ME,10,0
58e34aa6d7aff30100ae1817,1432046,2,Saint Clair,MI,Full Time,Male,Not Divulged,25/07/1984,34,2,Monthly,Permanent,Saint Clair_MI,75,1
58e7924dd7aff30100ae18a9,1635576,2,Gratiot,MI,Full Time,Female,Not Divulged,9/03/1988,30,1,Monthly,Permanent,Gratiot_MI,78,1
58e7ba01d7aff30100ae18b3,1435410,2,Houghton,MI,Part Time,Male,Not Divulged,23/08/1991,27,1,Monthly,Permanent,Houghton_MI,89,1
58e34a36a4f5930100cea76f,951649,2,Saint Louis,MN,Part Time,Male,Not Divulged,22/09/1991,27,1,Monthly,Permanent,Saint Louis_MN,29,0
58e3c64cd7aff30100ae1850,771215,2,Nobles,MN,Part Time,Female,Not Divulged,9/03/1990,28,1,Monthly,Permanent,Nobles_MN,92,1
58e3ca5ca4f5930100cea7a4,955635,2,Camden,MO,Full Time,Male,Not Divulged,28/07/1994,24,1,Monthly,Permanent,Camden_MO,89,1
58e3b1f9d7aff30100ae1849,951222,2,Brunswick,NC,Part Time,Female,Not Divulged,17/08/1996,22,1,Monthly,Permanent,Brunswick_NC,89,1
58e6404fd7aff30100ae188f,2142643,2,Hudson,NJ,Part Time,Female,Not Divulged,19/10/1997,21,1,Monthly,Permanent,Hudson_NJ,32,0
58e684f9d7aff30100ae189a,1479407,2,Logan,OH,Part Time,Female,Not Divulged,1/05/1993,25,1,Monthly,Permanent,Logan_OH,28,0
58e2b4eaa4f5930100cea763,1694795,2,Dallas,TX,Part Time,Female,Not Divulged,10/01/1996,22,1,Monthly,Permanent,Dallas_TX,23,0
58e2a592a4f5930100cea757,757788,3,Houston,AL,Full Time,Female,Not Divulged,17/02/1984,34,2,Monthly,Permanent,Houston_AL,75,1
58e3c24cd7aff30100ae184f,15996619,3,Bradley,AR,Part Time,Female,Not Divulged,1/05/1992,26,1,Monthly,Permanent,Bradley_AR,98,1
58e7ccc3d7aff30100ae18b5,2503130,3,Baxter,AR,Full Time,Male,Not Divulged,19/02/1991,27,1,Monthly,Permanent,Baxter_AR,99,1
58e51f62d7aff30100ae1878,1143299,3,Weld,CO,Part Time,Male,Not Divulged,29/10/1993,25,1,Monthly,Permanent,Weld_CO,87,1
58e53a6ea4f5930100cea7d4,1355790,3,Pueblo,CO,Part Time,Female,Not Divulged,9/09/1995,23,1,Monthly,Permanent,Pueblo_CO,66,1
58e78928d7aff30100ae18a7,1665558,3,New London,CT,Full Time,Female,Not Divulged,4/12/1994,24,1,Monthly,Permanent,New London_CT,77,1
58e29da6d7aff30100ae17f0,1139303,3,Walton,FL,Part Time,Male,White,10/01/1989,29,1,Monthly,Permanent,Walton_FL,84,1
58e4b794d7aff30100ae1863,1376693,3,Brevard,FL,Part Time,Male,Not Divulged,18/03/1994,24,1,Monthly,Permanent,Brevard_FL,98,1
58e2c1f8d7aff30100ae1809,1671024,3,Habersham,GA,Full Time,Female,White,25/09/1954,64,2,Monthly,Permanent,Habersham_GA,33,0
58e2dcd5d7aff30100ae1811,1015342,3,Shelby,IA,Part Time,Female,White,10/09/1967,51,2,Monthly,Fixed Term,Shelby_IA,57,1
58e4cd44d7aff30100ae1868,1272078,3,Shelby,IA,Full Time,Male,White,2/02/1989,29,1,Monthly,Fixed Term,Shelby_IA,57,1
58e29a34d7aff30100ae17ee,2199463,3,Carroll,IL,Part Time,Female,White,29/08/1969,49,2,Monthly,Fixed Term,Carroll_IL,42,0
58e2aa73a4f5930100cea75a,3177238,3,Posey,IN,Part Time,Female,White,28/08/1976,42,2,Monthly,Fixed Term,Posey_IN,71,1
58e5067ed7aff30100ae1874,1089992,3,Whitley,IN,Part Time,Female,White,18/05/1966,52,2,Monthly,Fixed Term,Whitley_IN,4,0
58e7c248d7aff30100ae18b4,1082084,3,Meade,KY,Full Time,Male,White,1/12/1983,35,2,Monthly,Fixed Term,Meade_KY,58,1
58e50382d7aff30100ae1873,1675061,3,Iberia,LA,Full Time,Female,Other,16/06/1971,47,2,Monthly,Fixed Term,Iberia_LA,23,0
58e39533d7aff30100ae183b,743115,3,Wicomico,MD,Full Time,Male,White,6/05/1970,48,2,Monthly,Fixed Term,Wicomico_MD,12,0
58e64e5ba4f5930100cea7e3,1143560,3,Emmet,MI,Full Time,Female,White,31/12/1986,32,2,Monthly,Fixed Term,Emmet_MI,85,1
58e63f54d7aff30100ae188e,1026403,3,Dakota,MN,Full Time,Female,White,26/10/1980,38,2,Monthly,Fixed Term,Dakota_MN,66,1
58e29f58a4f5930100cea755,2239033,3,Anson,NC,Part Time,Male,Black or Black British,26/07/1990,28,1,Monthly,Fixed Term,Anson_NC,61,1
58e4e1ada4f5930100cea7c3,7072784,3,Macon,NC,Full Time,Male,White,29/10/1987,31,2,Monthly,Fixed Term,Macon_NC,64,1
58e2bfa5d7aff30100ae1808,4384336,3,Thurston,NE,Full Time,Male,White,23/07/1991,27,1,Monthly,Fixed Term,Thurston_NE,52,1
58e6800aa4f5930100cea7ee,1377832,3,Hillsborough,NH,Part Time,Female,White,16/12/1975,43,2,Monthly,Fixed Term,Hillsborough_NH,94,1
58e34f7ba4f5930100cea773,1813834,3,Montgomery,NY,Full Time,Male,Chinese,2/11/1975,43,2,Monthly,Fixed Term,Montgomery_NY,52,1
58e3a75cd7aff30100ae1842,994847,3,Allegany,NY,Full Time,Female,White,3/03/1990,28,1,Monthly,Fixed Term,Allegany_NY,47,0
